id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17891,Large Light Filled Loft,69063,Candace,,Central & Western,22.28327,114.14988,Entire home/apt,1400,60,73,2017-11-29,1.07,1,0,0,
69074,Beautiful oasis of plants & art @ best location,160139,Amy,,Central & Western,22.2835,114.14854,Entire home/apt,1497,2,135,2019-08-03,1.19,1,131,1,
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,,Central & Western,22.28418,114.15431,Entire home/apt,614,2,274,2019-11-17,3.05,9,247,2,
104626,Entire Flat - Next to Man Mo Temple,544166,Celine,,Central & Western,22.2836,114.1479,Entire home/apt,2533,1,14,2012-01-13,0.12,1,365,0,
132773,Fabulous 2 Bdrm Aprt Open kitchen,304876,Brend,,Central & Western,22.28921,114.14325,Entire home/apt,847,2,209,2020-08-07,2.45,9,144,2,
163664,Soho off Hollywood Road P4,304876,Brend,,Central & Western,22.28494,114.14901,Entire home/apt,614,2,225,2020-01-31,2.29,9,326,2,
163742,Soho off Hollywood Road P3,304876,Brend,,Central & Western,22.28657,114.14889,Entire home/apt,770,2,234,2020-07-12,2.35,9,365,3,
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.28228,114.14923,Entire home/apt,750,1,166,2019-10-23,2.33,1,199,3,
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,,Wan Chai,22.27924,114.16995,Entire home/apt,910,7,241,2019-10-16,2.73,1,344,0,
277437,Flat near HKU/IFC/Lan Kwai Fong,1443229,Alice,,Central & Western,22.2838,114.13115,Entire home/apt,916,2,44,2020-08-21,0.37,4,365,0,
278277,FANTASTIC (HK) in the heart of HK,1452499,Sally,,Wan Chai,22.27731,114.17403,Entire home/apt,1484,3,251,2019-06-09,2.37,5,364,0,
280746,Beautiful 3 bedroom designer Apt,1443229,Alice,,Yuen Long,22.46592,113.98207,Entire home/apt,955,4,39,2019-07-26,0.81,4,362,1,
282507,"Private Rm A located in Wanchai, HK",1443229,Alice,,Wan Chai,22.27868,114.17416,Private room,622,2,2,2012-08-12,2,4,365,1,
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.28376,114.15313,Entire home/apt,1086,30,20,2014-03-30,0.25,1,365,0,
463214,Awesome flat in Sai Ying Pun with Harbour view!!,2296168,Arnaud,,Central & Western,22.28537,114.14238,Entire home/apt,1357,3,21,2013-04-08,0.38,1,272,0,
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28543,114.1489,Entire home/apt,850,1,219,2021-07-23,2.21,1,330,15,
540892,Cozy  Sheungwan  Soho Room 205,2376514,Sun-Ok,,Central & Western,22.2858,114.15241,Private room,950,2,10,2015-08-30,0.09,7,365,0,
560337,High floor/Bay view in Kowloon !!,2755168,Sonia,,Kowloon City,22.31228,114.18992,Private room,290,2,232,2019-12-30,2.88,1,364,0,
562659,"Spacious studio, 1min from Sogo(A)",2767759,Alfred,,Wan Chai,22.28113,114.18416,Entire home/apt,600,90,2,2018-09-02,0.16,10,334,0,
562683,Mixed Dorm Bed#1/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,162,1,113,2019-07-31,1.58,43,365,0,
562775,Mixed Dorm Bed#2/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,162,1,206,2021-08-20,2.81,43,365,2,
562795,Mixed Dorm Bed#3/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,162,1,45,2018-09-06,0.68,43,365,0,
562808,Mixed Dorm Bed#4/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,162,1,25,2018-11-26,0.66,43,365,0,
562817,Mixed Dorm Bed#A/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,162,1,163,2019-06-25,2.45,43,365,0,
562840,Mixed Dorm Bed#B/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,162,1,28,2019-05-08,0.45,43,365,0,
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25386,113.86401,Hotel room,1829,1,13,2021-09-01,0.18,4,33,3,
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25552,113.86369,Hotel room,1276,1,34,2020-09-26,0.49,4,35,6,
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25437,113.86371,Hotel room,901,1,25,2021-10-04,0.33,4,47,8,
603051,"""Lotus""-Zen styled room @Espace Elastique of Tai O",2846701,Veronica,,Islands,22.25591,113.86172,Hotel room,661,1,72,2019-04-05,0.92,4,53,7,
603085,A sunny  doubleroom with Terrace302,2376514,Sun-Ok,,Central & Western,22.28589,114.14975,Private room,1022,3,4,2013-11-28,0.04,7,365,0,
628303,Apartment F causeway bay,2767759,Alfred,,Wan Chai,22.28115,114.1861,Entire home/apt,400,150,9,2012-12-18,0.08,10,84,0,
634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",3161756,Sl,,Wan Chai,22.276,114.1736,Entire home/apt,1000,1125,19,2013-08-13,0.18,1,0,0,
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Hotel room,236,1,147,2019-10-11,1.99,6,0,0,
646645,Creative Residence. Private Room,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Private room,280,3,37,2018-04-11,0.83,6,0,0,
664221,"Cozy + Sunny single room "" DB""103",2376514,Sun-Ok,,Central & Western,22.28578,114.1499,Private room,687,3,19,2014-03-05,0.20,7,365,0,
695864,clean and  cozy room[ Andy 102],2376514,Sun-Ok,,Central & Western,22.28739,114.15049,Private room,663,3,11,2013-07-17,0.11,7,365,0,
714585,Group Favour (DH) in Wan Chai,1452499,Sally,,Wan Chai,22.27809,114.16904,Entire home/apt,1983,3,255,2020-02-11,2.98,5,295,0,
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31807,114.17081,Private room,337,28,9,2018-01-03,0.15,4,66,0,
728126,Nice View Room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31808,114.1706,Private room,420,28,17,2015-11-18,0.19,4,106,0,
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31828,114.17047,Private room,396,28,15,2018-08-22,0.44,4,356,0,
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.31792,114.17042,Private room,291,28,44,2016-10-02,0.53,4,336,0,
764696,Single bed room with green view,4031260,Jen Ai,,North,22.50262,114.13418,Private room,350,2,39,2017-07-14,0.36,2,322,0,
767022,Hong Kong - Great views/Location!,1853636,Ella,,Southern,22.23025,114.21702,Entire home/apt,5053,90,5,2016-08-04,0.09,1,63,0,
767500,Cozy Double Rm 1 next to Jordan MTR,4048151,Stephen,,Yau Tsim Mong,22.30564,114.17184,Private room,328,1,198,2019-01-02,2.08,5,365,0,
775458,Harbour Front + City Center + Cozy,2007350,Mandy & Henry,,Wan Chai,22.28086,114.17897,Entire home/apt,1349,2,328,2019-06-18,3.79,1,294,0,
792974,STUDIO with ROOF in HEART of SOHO,2172438,Joy,,Central & Western,22.28044,114.15064,Entire home/apt,1024,3,26,2018-08-14,0.25,1,14,0,
816463,Colonial Style Designer Apartment,1443229,Alice,,Central & Western,22.28198,114.13258,Entire home/apt,916,2,13,2015-12-11,0.12,4,339,0,
823455,"HK 2br for 4-6ppl
香港2臥1厅1浴可住4-6人",4319967,Zen Nicholas,,Sham Shui Po,22.33455,114.15992,Entire home/apt,866,3,71,2017-02-26,0.67,3,364,0,
824618,浪漫沙滩露营❤转机高铁广深澳门中环旺角,4329021,Sanny,,Tuen Mun,22.37285,113.98745,Entire home/apt,279,30,0,,,1,83,0,
825843,"(25-3), 4 beds girl room 女生房,3 Mins to jordan MTR",4125106,Hostel,,Yau Tsim Mong,22.3072,114.17172,Shared room,129,28,173,2017-12-23,1.80,7,365,0,
825899,"(25-4), 4 beds girl room 女生房,3 Mins to jordan MTR",4125106,Hostel,,Yau Tsim Mong,22.30729,114.17233,Shared room,129,28,132,2017-01-07,1.31,7,365,0,
